institution_code,campus,town,county,region
1249,ELDORET,Eldoret,Uasin Gishu,Rift Valley
1249,KAREN,Karen,Nairobi,Nairobi
1249,KISII,Kisii,Kisii,Nyanza
1249,KISUMU,Kisumu,Kisumu,Nyanza
1249,MOMBASA,Mombasa,Mombasa,Coast
1249,NAIROBI CBD,Nairobi,Nairobi,Nairobi
1249,NAKURU,Nakuru,Nakuru,Rift Valley
1263,CHIROMO,Nairobi,Nairobi,Nairobi
1263,KIKUYU,Kikuyu,Kiambu,Central
1263,KISUMU,Kisumu,Kisumu,Nyanza
1263,LOWER KABETE,Nairobi,Nairobi,Nairobi
1263,MOMBASA,Mombasa,Mombasa,Coast
1263,PARKLANDS,Nairobi,Nairobi,Nairobi
1279,ELDORET,Eldoret,Uasin Gishu,Rift Valley
1279,KISII,Kisii,Kisii,Nyanza
1279,MOMBASA,Mombasa,Mombasa,Coast
1279,NAIROBI CBD,Nairobi,Nairobi,Nairobi
1279,NAKURU,Nakuru,Nakuru,Rift Valley
