institution_code,name,region,county
1053,JARAMOGI OGINGA ODINGA UNIVERSITY OF SCIENCE AND TECHNOLOGY,Nyanza,Siaya
1057,EGERTON UNIVERSITY,Rift Valley,Nakuru
1060,RIARA UNIVERSITY,Nairobi,Nairobi
1061,KABARAK UNIVERSITY,Rift Valley,Nakuru
1063,TECHNICAL UNIVERSITY OF MOMBASA,Coast,Mombasa
1066,MANAGEMENT UNIVERSITY OF AFRICA,Nairobi,Nairobi
1068,PAN AFRICA CHRISTIAN UNIVERSITY,Nairobi,Nairobi
1073,RONGO UNIVERSITY,Nyanza,Migori
1077,KENYA METHODIST UNIVERSITY,Eastern,Meru
1078,AFRICA NAZARENE UNIVERSITY,Rift Valley,Kajiado
1079,KIRINYAGA UNIVERSITY,Central,Kirinyaga
1080,CO-OPERATIVE UNIVERSITY OF KENYA,Nairobi,Nairobi
1082,MASINDE MULIRO UNIVERSITY OF SCIENCE & TECHNOLOGY,Western,Kakamega
1087,KISII UNIVERSITY,Nyanza,Kisii
1088,GRETSA UNIVERSITY,Central,Kiambu
1090,SCOTT CHRISTIAN UNIVERSITY,Eastern,Machakos
1091,TAITA TAVETA UNIVERSITY,Coast,Taita Taveta
1093,UNIVERSITY OF EMBU,Eastern,Embu
1096,GARISSA UNIVERSITY,North Eastern,Garissa
1103,KCA UNIVERSITY,Nairobi,Nairobi
1105,CHUKA UNIVERSITY,Eastern,Tharaka-Nithi
1107,ST PAULS UNIVERSITY,Central,Kiambu
1108,KIBABII UNIVERSITY,Western,Bungoma
1111,KENYATTA UNIVERSITY,Nairobi,Nairobi
1112,TECHNICAL UNIVERSITY OF KENYA,Nairobi,Nairobi
1114,UNIVERSITY OF ELDORET,Rift Valley,Uasin Gishu
1116,UZIMA UNIVERSITY,Nyanza,Kisumu
1117,PWANI UNIVERSITY,Coast,Kilifi
1118,UNIVERSITY OF KABIANGA,Rift Valley,Kericho
1119,AFRICA INTERNATIONAL UNIVERSITY,Nairobi,Nairobi
1162,DAYSTAR UNIVERSITY,Eastern,Machakos
1164,MULTIMEDIA UNIVERSITY OF KENYA,Nairobi,Nairobi
1165,MAASAI MARA UNIVERSITY,Rift Valley,Narok
1166,SOUTH EASTERN KENYA UNIVERSITY,Eastern,Kitui
1169,KENYA HIGHLANDS EVANGELICAL UNIVERSITY,Rift Valley,Kericho
1170,MACHAKOS UNIVERSITY,Eastern,Machakos
1173,DEDAN KIMATHI UNIVERSITY OF TECHNOLOGY,Central,Nyeri
1176,LAIKIPIA UNIVERSITY,Rift Valley,Laikipia
1181,"UNIVERSITY OF EASTERN AFRICA, BARATON",Rift Valley,Nandi
1192,GREAT LAKES UNIVERSITY OF KISUMU,Nyanza,Kisumu
1196,PRESBYTERIAN UNIVERSITY OF EAST AFRICA,Central,Kiambu
1225,INTERNATIONAL LEADERSHIP UNIVERSITY,Nairobi,Nairobi
1229,MASENO UNIVERSITY,Nyanza,Kisumu
1240,MERU UNIVERSITY OF SCIENCE AND TECHNOLOGY,Eastern,Meru
1244,KARATINA UNIVERSITY,Central,Nyeri
1246,MURANG'A UNIVERSITY OF TECHNOLOGY,Central,Murang'a
1249,JOMO KENYATTA UNIVERSITY OF AGRICULTURE AND TECHNOLOGY,Central,Kiambu
1253,MOI UNIVERSITY,Rift Valley,Uasin Gishu
1263,UNIVERSITY OF NAIROBI,Nairobi,Nairobi
1279,MOUNT KENYA UNIVERSITY,Central,Kiambu
1425,ZETECH UNIVERSITY,Central,Kiambu
1460,KIRIRI WOMENS UNIVERSITY OF SCIENCE AND TECHNOLOGY,Nairobi,Nairobi
1470,KAIMOSI FRIENDS UNIVERSITY,Western,Vihiga
1475,TANGAZA UNIVERSITY,Nairobi,Nairobi
1480,CATHOLIC UNIVERSITY OF EASTERN AFRICA,Nairobi,Nairobi
1495,LUKENYA UNIVERSITY,Eastern,Machakos
1500,THE EAST AFRICAN UNIVERSITY,Rift Valley,Kajiado
1515,TOM MBOYA UNIVERSITY,Nyanza,Homa Bay
1530,MARIST INTERNATIONAL UNIVERSITY COLLEGE,Nairobi,Nairobi
1555,KENYA ASSEMBLIES OF GOD EAST UNIVERSITY,Nairobi,Nairobi
1570,TURKANA UNIVERSITY COLLEGE,Rift Valley,Turkana
1580,KENYATTA UNIVERSITY - MAMA NGINA UNIVERSITY COLLEGE,Central,Kiambu
1600,ALUPE UNIVERSITY,Western,Busia
1685,THARAKA UNIVERSITY,Eastern,Tharaka-Nithi
1700,BOMET UNIVERSITY COLLEGE,Rift Valley,Bomet
3890,KOITALEEL SAMOEI UNIVERSITY COLLEGE,Rift Valley,Nandi
3895,ISLAMIC UNIVERSITY OF KENYA,Rift Valley,Kajiado
4275,AMREF INTERNATIONAL UNIVERSITY,Central,Kiambu
5145,OPEN UNIVERSITY OF KENYA,Eastern,Machakos
