program_normalized_name	offerings_count
BA IN BIBLICAL STUDIES	1
BA IN CHURCH EDUCATIONAL MINISTRIES	1
BA IN INTER-CULTURAL STUDIES	1
BACHELOR IN BUSINESS ADMINISTRATION	14
BACHELOR OF ACCOUNTANCY AND FINANCIAL MANAGEMENT	3
BACHELOR OF ACTUARIAL SCIENCE	30
BACHELOR OF AGRI TECHNOLOGY AND FOOD SYSTEMS	1
BACHELOR OF AGRIBUSINESS MANAGEMENT	5
BACHELOR OF AGRICULTURAL EDUCATION & EXTENSION	18
BACHELOR OF ANIMATION AND GRAPHICS DESIGN	1
BACHELOR OF APPLIED COMMUNICATION	2
BACHELOR OF APPLIED SCIENCE (GEO-INFORMATICS)	1
BACHELOR OF ARCHITECTURAL STUDIES/BACHELOR OF ARCHITECTURE	5
BACHELOR OF ARTS	60
BACHELOR OF BROADCAST JOURNALISM	1
BACHELOR OF BUSINESS ADMINISTRATION AND MANAGEMENT	1
BACHELOR OF BUSINESS ADMINISTRATION IN FINANCE	1
BACHELOR OF BUSINESS AND INFORMATION TECHNOLOGY	5
BACHELOR OF BUSINESS AND MANAGEMENT	20
BACHELOR OF BUSINESS AND OFFICE MANAGEMENT	2
BACHELOR OF BUSINESS INFORMATION AND MANAGEMENT	1
BACHELOR OF BUSINESS INFORMATION TECHNOLOGY	21
BACHELOR OF BUSINESS LEADERSHIP	1
BACHELOR OF BUSINESS MANAGEMENT (CIVIL AVIATION MANAGEMENT)	1
BACHELOR OF BUSINESS MANAGEMENT (MARINE BUSINESS MANAGEMENT)	1
BACHELOR OF BUSINESS MANAGEMENT AND INFORMATION TECHNOLOGY	1
BACHELOR OF CHRISTIAN EDUCATION	1
BACHELOR OF CO-OPERATIVE BUSINESS	1
BACHELOR OF CO-OPERATIVE MANAGEMENT	5
BACHELOR OF COMMERCE	46
BACHELOR OF COMMUNICATION & JOURNALISM	5
BACHELOR OF COMMUNICATION & PUBLIC RELATIONS	1
BACHELOR OF COMMUNICATION AND MEDIA STUDIES	3
BACHELOR OF COMMUNICATION AND PUBLIC RELATIONS	8
BACHELOR OF CONFLICT RESOLUTION AND HUMANITAIRAN ASSISTANCE	2
BACHELOR OF CONSTRUCTION MANAGEMENT	2
BACHELOR OF COUNSELING PSYCHOLOGY	2
BACHELOR OF DENTAL SURGERY	2
BACHELOR OF DISASTER MANAGEMENT & INTERNATIONAL DIPLOMACY	2
BACHELOR OF ECONOMICS	18
BACHELOR OF ECONOMICS & FINANCE	11
BACHELOR OF ECONOMICS & STATISTICS	14
BACHELOR OF ECONOMICS AND MATHEMATICS	1
BACHELOR OF EDUCATION	57
BACHELOR OF ENGINEERING	16
BACHELOR OF ENTREPRENEURSHIP	5
BACHELOR OF ENTREPRENUERSHIP & SMALL BUSINESS MANAGEMENT	11
BACHELOR OF ENVIRONMENTAL SCIENCE	20
BACHELOR OF ENVIRONMENTAL STUDIES	2
BACHELOR OF ENVIRONMENTAL STUDIES (COMMUNITY DEVELOPMENT)	3
BACHELOR OF ENVIRONMENTAL STUDIES (EARTH SCIENCES)	1
BACHELOR OF ENVIRONMENTAL STUDIES (ENVIRONMENTAL RESOURCE CONSERVATION)	2
BACHELOR OF FILM AND ANIMATION STUDIES	2
BACHELOR OF HEALTH SERVICES MANAGEMENT	1
BACHELOR OF HOSPITALITY AND TOURISM MANAGEMENT	11
BACHELOR OF HOTEL & HOSPITALITY MANAGEMENT	8
BACHELOR OF HOTEL MANAGEMENT	3
BACHELOR OF HUMAN RESOURCE MANAGEMENT	17
BACHELOR OF INDUSTRIAL TECHNOLOGY	1
BACHELOR OF INFORMATION COMMUNICATION TECHNOLOGY	6
BACHELOR OF INFORMATION SCIENCE	3
BACHELOR OF INFORMATION TECHNOLOGY	34
BACHELOR OF INTERNATIONAL TOURISM MANAGEMENT	1
BACHELOR OF JOURNALISM	3
BACHELOR OF JOURNALISM & MASS COMMUNICATION	7
BACHELOR OF JUSTICE AND PEACE	1
BACHELOR OF LANDSCAPE ARCHITECTURE	1
BACHELOR OF LAWS	18
BACHELOR OF LIBRARY & INFORMATION SCIENCE	10
BACHELOR OF LOGISTICS AND SUPPLY CHAIN MANAGEMENT	1
BACHELOR OF MANAGEMENT AND OFFICE ADMINISTRATION	1
BACHELOR OF MEDICINE	13
BACHELOR OF MUSIC	3
BACHELOR OF MUSIC (TECHNOLOGY)	2
BACHELOR OF MUSIC IN MUSIC EDUCATION	1
BACHELOR OF PHARMACY	8
BACHELOR OF PHILOSOPHY IN TECHNOLOGY (SURVEYING TECHNOLOGY)	1
BACHELOR OF PROCUREMENT AND LOGISTICS MANAGEMENT	7
BACHELOR OF PROCUREMENT AND SUPPLY CHAIN MANAGEMENT	7
BACHELOR OF PROJECT PLANNING AND MANAGEMENT	12
BACHELOR OF PSYCHOLOGY	4
BACHELOR OF PUBLIC POLICY AND ADMINISTRATION	3
BACHELOR OF PURCHASING & SUPPLIES MANAGEMENT	8
BACHELOR OF PURCHASING AND SUPPLY CHAIN MANAGEMENT	2
BACHELOR OF QUANTITY SURVEYING	4
BACHELOR OF RADIOGRAPHY	1
BACHELOR OF REAL ESTATE	4
BACHELOR OF SCIENCE	60
BACHELOR OF SECRETARIAL MANAGEMENT AND ADMINISTRATION	1
BACHELOR OF SECURITY SCIENCE AND MANAGEMENT	1
BACHELOR OF SOCIAL WORK	3
BACHELOR OF SOCIAL WORK AND ADMINISTRATION	2
BACHELOR OF SPORTS MANAGEMENT	2
BACHELOR OF TECHNOLOGY	10
BACHELOR OF THE BUILT ENVIRONMENT (URBAN AND REGIONAL PLANNING)	1
BACHELOR OF TRAVEL & TOURS OPERATIONS MANAGEMENT	4
BACHELOR OF URBAN AND REGIONAL PLANNING	1
BACHELOR OF VETERINARY MEDICINE	2
